Adam 	﻿A Dong 
Arhant, Lohan follower of Buddha 	A La Hán 
Alexander 	A Lịch Sơn 
Alexandre de Rhodes 	A Lịch Sơn Đắc Lộ 
Afghanistan; Afghanistani, Afghan 	A Phú Hãn 
Amnida Buddha; thank heavens! 	A di đà phật 
Adam 	A đam 
Oh!, What a pity! 	A, tội nghiệp quá 
Egypt, Egyptian 	Ai Cập 
Egyptology 	Ai Cập học 
Laos, Laotian 	Ai Lao 
Nobody asked you to do that! 	Ai khiến anh! 
Annam, Annamese, Annamite 	An Nam 
Albania 	An ba ni 
England 	Anh Cát Lợi 
Anglo-American 	Anh Mỹ 
England 	Anh Quốc 
British pound, pound sterling 	Anh kim 
English mile 	Anh lý 
English language 	Anh ngữ 
Poor English 	Anh ngữ kém 
Poland 	Ba Lan 
Paris 	Ba Lê 
Balkans 	Ba Nhĩ Cán 
Brazil, Brazilian 	Ba Tây 
Persia, Persian, Iran, Iranian 	Ba Tư 
Babylon 	Ba Tỉ Luân 
Character in the book “Anh Hùng Xà Điêu” 	Bao Tích Nhược 
The Art of War book by Sun Tzu 	Binh thư yếu lược 
What can one do now! 	Biết làm thế nào bây giờ 
Mare Frigoris lunar sea 	Biển Băng 
Oceanus Procellarum 	Biển Cả Bảo Tố 
Mare Humorum lunar sea 	Biển Hài Hước 
Mare Vaporum lunar sea 	Biển Hơi 
Mare Crisium lunar sea 	Biển Khủng Hoảng 
Mare Nubium lunar sea 	Biển Mây 
Mare Imbrium lunar sea 	Biển Mưa Gió 
South Sea 	Biển Nam Hải 
Mare Foecondatus 	Biển Phong Phú 
The Pacific Ocean 	Biển Thái Bình Dương 
Mare Seranitatis 	Biển Trong 
Mare Traquilitatis 	Biển Trầm Lặng 
South China Sea 	Biển Ðông 
South China Sea 	Biển Đông 
Mediterranean Sea 	Biển Địa Trung Hải 
Brazil 	Brazin 
Brahman 	Bà La Môn 
Name of a village 	Bàu Sỏi 
Berlin 	Bá Linh 
Zoroastrianism 	Bái hỏa giáo 
Octagonal palace Cao Dai 	Bát Quái Đài 
Pyongyang 	Bình Nhưỡng 
Province name 	Bình Định 
Bangkok 	Băng Cốc 
Iceland 	Băng Ðảo 
The White House 	Bạch Cung 
God of Prostitutes 	Bạch Mi 
White Russian, Byelorussian 	Bạch Nga 
Snow White 	Bạch tuyết 
The White House 	Bạch Ốc 
Honshu region of Japan 	Bản Châu 
Panmunjon 	Bản Môn Điếm 
Bulgaria, Bulgarian 	Bảo Gia Lợi 
National Order Medal 	Bảo quốc Huân chương 
Northern Europe, Scandinavia 	Bấc Âu 
Arctic Ocean 	Bắc Bang Dương 
Peiping 	Bắc Bình 
Northern region of Vietnam 	Bắc Bộ 
Northern California 	Bắc Cali 
North Korea 	Bắc Cao 
North Korea 	Bắc Cao Ly 
North Pole 	Bắc Cực 
North Vietnam 	Bắc Hà 
North Korea 	Bắc Hàn 
Hokkaido region of Japan 	Bắc Hải Đạo 
Peking, Beijing 	Bắc Kinh 
North Vietnam 	Bắc Kỳ 
North America, North American 	Bắc Mỹ 
North Africa 	Bắc Phi 
Northern part of Vietnam 	Bắc Phần 
North Korea 	Bắc Triều Tiên 
Northern Vietnam 	Bắc Việt 
Northern Europe, Scandinavia 	Bắc Âu 
French Legion of Honor medal 	Bắc Ðẩu Bội Tinh 
North Atlantic Ocean 	Bắc Đại Tây Dương 
Ursa Major constellation 	Bắc Đầu 
Sire, Your Majesty 	Bệ Hạ 
Belgium, Belgian 	Bỉ Lợi Thì 
Belgium 	Bỉ quốc 
Bodhisattva 	Bồ Tát 
Portugal, Portuguese 	Bồ Đào Nha 
Ministry of Agriculture 	Bộ Canh Bịnh 
Ministry of Agriculture 	Bộ Canh Nông 
Ministry of Public Works 	Bộ Công Chánh 
Ministry of Industry 	Bộ Công nghiệp 
Office of Veteran Affairs 	Bộ Cựu Chiên Binh 
Department of Transportation 	Bộ Giao Thông Vận Tải 
Ministry of Education 	Bộ Giáo Dục 
Department of commerce 	Bộ Kinh Doanh 
Department of the economy or economic affairs 	Bộ Kinh Tế 
Ministry of Planning 	Bộ Kế Hoạch 
Ministry of Labor 	Bộ Lao động 
Ministry of Trade 	Bộ Mậu Dịch 
Foreign Ministry 	Bộ Ngoại Giao 
Ministry of Foreign Trade 	Bộ Ngoại Thương 
The Ministry of International Trade and Industry MITI 	Bộ Ngoại Thương và Kỹ Nghệ 
Ministry of Agriculture 	Bộ Nông Nghiệp 
Ministry of Domestic Affairs 	Bộ Nội Vụ 
Department of Defense 	Bộ Quốc Phòng 
Ministry of National Education 	Bộ Quốc gia Giáo dục 
Ministry of Information 	Bộ Thông Tin 
Foreign minister, Secretary of State 	Bộ Trưởng Bộ Ngoại Giao 
Minister of Education 	Bộ Trưởng Giáo Dục 
Foreign Secretary 	Bộ Trưởng Ngoại Giao 
Minister of Foreign Affairs 	Bộ Trưởng Ngoại Vụ 
Department of Energy 	Bộ Trưởng Năng Lượng 
Secretary, Ministry of Defense 	Bộ Trưởng Quốc Phòng 
Secretary of Trade, Commerce 	Bộ Trưởng Thương Mại 
Justice minister 	Bộ Trưởng Tư Pháp 
Ministry of Finance 	Bộ Tài Chánh 
Ministry of Finance 	Bộ Tài Chính 
Ministry of Justice; Justice Department 	Bộ Tư Pháp 
Ministry of Education and Youth 	Bộ Văn Hóa Giáo Dục và Thanh Niên 
Ministry of Social Welfare 	Bộ Xã Hội 
Ministry of Public Health 	Bộ Y Tế 
The Greater East Asia Ministry 	Bộ Đại Đông Á 
Buddha 	Bụt 
Iron Curtain 	Bức Màn Sắt 
Cộng Hòa Nhân Dân Trung Hoa People’s Republic of China 	CNT 
Cộng sản communist 	CS 
Cộng Sản Việt Nam Communist Vietnam 	CSVN 
Chủ tịch chairman, president 	CT 
Cộng hòa Xã hội chủ nghĩa Việt Nam the Socialist Republic of Vietnam 	CXCV 
California 	Cali 
Cambodia 	Cam Bốt 
Kansu 	Cam Túc 
Mahatma Ghandi 	Cam Địa 
Korea 	Cao Ly 
Cambodia, Cambodian 	Cao Miên 
Cambodia, Cambodian 	Cao Mên 
Cao Dai a Vietnamese religion 	Cao Đài 
Cao Dai Vietnamese religion 	Cao Đài Giáo 
Father Superior 	Cha Bề Trên 
Father superior 	Cha bề trên 
Oh, that’s too expensive! 	Cha, mắc quá 
Champa 	Chiêm Thành 
Asia, Asian continent 	Châu Á 
Europe, European Continent 	Châu Âu 
Chaudoc 	Châu Đốc 
A bunch of ripe and succulent grapes 	Chùm nho chín mọng 
The Savior 	Chúa cứu thế 
Censor cardinal Cao Dai 	Chưởng Pháp 
Chancellor Cao Dai 	Chưởng Ấn 
There is nothing at all 	Chả có gì sốt 
He’ll probably be here soon 	Chắc anh ấy sắp đến 
Subdignitaries Cao Dai 	Chức Việc 
The Red Cross 	Chữ Thập Đỏ 
