The	Các
Be	được
And	Và
Of	Của
A	Một
In	Trong
To	đến
Have	Có
To	đến
It	Nó
I	Tôi
That	Cái đó
For	Cho
You	Bạn
He	Anh ta
With	Với
On	Trên
Do	Làm
Say	Nói
This	điều này
They	Họ
At	Tại
But	Nhưng
We	Chúng tôi
His	Của anh ấy
From	Từ
That	Cái đó
Not	Không phải
N't	Không
By	Bởi
She	Chị ấy
Or	Hoặc là
As	Như
What	Gì
Go	đi
Their	Họ
Can	Có thể
Who	Người nào
Get	được
If	Nếu
Would	Sẽ
Her	Cô ấy
All	Tất cả các
My	Tôi
Make	Chế tạo
About	Trong khoảng
Know	Biết
Will	Sẽ
As	Như
Up	Lên
One	Một
Time	Thời gian
There	ở đó
Year	Năm
So	Vì thế
Think	Suy nghĩ
When	Khi nào
Which	Mà
Them	Họ
Some	Một số
Me	Tôi
People	Những người
Take	Lấy
Out	Ngoài
Into	Vào
Just	Chỉ
See	Xem
Him	Anh ta
Your	Của bạn
Come	đến
Could	Có thể
Now	Hiện nay
Than	Hơn
Like	Như
Other	Khác
How	Làm sao
Then	Sau đó
Its	Của nó
Our	Của chúng ta
Two	Hai
More	Hơn
These	Những
Want	Muốn
Way	đường
Look	Nhìn
First	Đầu tiên
Also	Cũng thế
New	Mới
Because	Bởi vì
Day	Ngày
More	Hơn
Use	Sử dụng
No	Không
Man	Đàn ông
Find	Tìm thấy
Here	đây
Thing	Điều
Give	đưa cho
Many	Nhiều
Well	Tốt
Only	Chỉ có
Those	Những, cái đó
Tell	Nói
One	Một
Very	Rất
Her	Cô ấy
Even	Cũng
Back	Trở lại
Any	Bất kì
Good	Tốt
Woman	đàn bà
Through	Xuyên qua
Us	Chúng tôi
Life	đời sống
Child	đứa trẻ
There	ở đó
Work	Công việc
Down	Xuống
May	Tháng Năm
After	Sau
Should	Nên
Call	Gọi
World	Thế giới
Over	Kết thúc
School	Trường học
Still	Vẫn
Try	Thử
In	Trong
As	Như
Last	Cuối cùng
Ask	Hỏi
Need	Nhu cầu
Too	Quá
Feel	Cảm thấy
Three	Số ba
When	Khi nào
State	Tiểu bang
Never	Không bao giờ
Become	Trở nên
Between	Giữa
High	Cao
Really	Có thật không
Something	Cái gì đó
Most	Phần lớn
Another	Khác
Much	Nhiều
Family	Gia đình
Own	Sở hữu
Out	Ngoài
Leave	Rời khỏi
Put	đặt
Old	Cũ
While	Trong khi
Mean	Nghĩa là
On	Trên
Keep	Giữ
Student	Sinh viên
Why	Tại sao
Let	để cho
Great	Tuyệt quá
Same	Tương tự
Big	Lớn
Group	Nhóm
Begin	Bắt đầu
Seem	Hình như
Country	Quốc gia
Help	Cứu giúp
Talk	Nói chuyện
Where	Ở đâu
Turn	Xoay
Problem	Vấn đề
Every	Mỗi
Start	Khởi đầu
Hand	Tay
Might	Có thể
American	Người Mỹ
Show	Chỉ
Part	Phần
About	Trong khoảng
Against	Chống lại
Place	địa điểm
Over	Kết thúc
